"","name","wikitag","party","voteshare","legperiod","nsdap.membership"
"842","Erich Ollenhauer","/wiki/Erich_Ollenhauer","SPD","51,9",2,0
"843","Alfred Onnen","/wiki/Alfred_Onnen","FDP",NA,2,0
"844","Franz Op den Orth","/wiki/Franz_Op_den_Orth","SPD",NA,2,0
"845","Eduard Orth","/wiki/Eduard_Orth","CDU","54,7",2,0
"846","Ernst Paul","/wiki/Ernst_Paul","SPD",NA,2,0
"847","Georg Pelster","/wiki/Georg_Pelster","CDU","61,9",2,0
"848","Luise Peter","/wiki/Luise_Peter","SPD",NA,2,0
"849","Georg Peters","/wiki/Georg_Peters_(Politiker,_1908)","SPD","43,0",2,0
"850","Helmut Petersen","/wiki/Helmut_Petersen","GB/BHE",NA,2,1
"851","Robert Pferdmenges","/wiki/Robert_Pferdmenges","CDU",NA,2,0
"852","Karl Georg Pfleiderer","/wiki/Karl_Georg_Pfleiderer","FDP","32,9",2,0
"853","Elisabeth Pitz-Savelsberg","/wiki/Elisabeth_Pitz-Savelsberg","CDU",NA,2,0
"854","Eduard Platner","/wiki/Eduard_Platner_(Politiker)","CDU",NA,2,0
"855","Kurt Pohle","/wiki/Kurt_Pohle","SPD",NA,2,0
"856","Wolfgang Pohle","/wiki/Wolfgang_Pohle","CDU",NA,2,1
"857","Heinz Pöhler","/wiki/Heinz_P%C3%B6hler","SPD",NA,2,0
"858","Gisela Praetorius","/wiki/Gisela_Praetorius","CDU","42,6",2,0
"859","Ludwig Preiß","/wiki/Ludwig_Prei%C3%9F_(Politiker)","FDP","33,7",2,0
"860","Ludwig Preller","/wiki/Ludwig_Preller_(Politiker)","SPD","43,8",2,0
"861","Carl Prennel","/wiki/Carl_Prennel","SPD",NA,2,0
"862","Victor-Emanuel Preusker","/wiki/Victor-Emanuel_Preusker","FDP","32,4",2,1
"863","Moritz-Ernst Priebe","/wiki/Moritz-Ernst_Priebe","SPD",NA,2,0
"864","Maria Probst","/wiki/Maria_Probst","CSU","68,5",2,0
"865","Hermann Pünder","/wiki/Hermann_P%C3%BCnder_(Politiker)","CDU","54,5",2,0
"866","Werner Pusch","/wiki/Werner_Pusch","SPD",NA,2,0
"867","Paul Putzig","/wiki/Paul_Putzig","SPD",NA,2,0
"868","Willy Max Rademacher","/wiki/Willy_Max_Rademacher","FDP","52,1",2,0
"869","Bernhard Raestrup","/wiki/Bernhard_Raestrup","CDU","67,5",2,0
"870","Hugo Rasch","/wiki/Hugo_Rasch_(Politiker)","SPD",NA,2,0
"871","Will Rasner","/wiki/Will_Rasner","CDU","59,6",2,0
"872","Ludwig Ratzel","/wiki/Ludwig_Ratzel","SPD",NA,2,0
"873","Karl Regling","/wiki/Karl_Regling","SPD",NA,2,0
"874","Luise Rehling","/wiki/Luise_Rehling","CDU","48,3",2,0
"875","Reinhold Rehs","/wiki/Reinhold_Rehs","SPD",NA,2,1
"876","Willy Reichstein","/wiki/Willy_Reichstein","GB/BHE",NA,2,0
"877","Hans Reif","/wiki/Hans_Reif","FDP",NA,2,0
"878","Wilhelm Reitz","/wiki/Wilhelm_Reitz","SPD","30,6",2,0
"879","Richard Reitzner","/wiki/Richard_Reitzner","SPD",NA,2,0
"880","Annemarie Renger","/wiki/Annemarie_Renger","SPD",NA,2,0
"881","Hans Richarts","/wiki/Hans_Richarts","CDU","79,6",2,0
"882","Willi Richter","/wiki/Willi_Richter","SPD","37,3",2,0
"883","Max Freiherr Riederer von Paar","/wiki/Max_Riederer_von_Paar","CSU","54,1",2,0
"884","Walter Rinke","/wiki/Walter_Rinke","CSU",NA,2,0
"885","Heinrich Georg Ritzel","/wiki/Heinrich_Georg_Ritzel","SPD","39,9",2,0
"886","Franz Josef Röder","/wiki/Franz_Josef_R%C3%B6der","CDU",NA,2,0
"887","Julie Rösch","/wiki/Julie_R%C3%B6sch","CDU",NA,2,0
"888","Josef Rösing","/wiki/Josef_R%C3%B6sing","Zentrum",NA,2,0
"889","Margarete Rudoll","/wiki/Margarete_Rudoll","SPD",NA,2,0
"890","Thomas Ruf","/wiki/Thomas_Ruf","CDU","43,2",2,0
"891","Heinrich-Wilhelm Ruhnke","/wiki/Heinrich-Wilhelm_Ruhnke","SPD",NA,2,0
"892","Franz Ruland","/wiki/Franz_Ruland_(Politiker)","CVP",NA,2,0
"893","Oskar Rümmele","/wiki/Oskar_R%C3%BCmmele","CDU","58,9",2,0
"894","Hermann Runge","/wiki/Hermann_Runge","SPD",NA,2,0
"895","Wilmar Sabaß","/wiki/Wilmar_Saba%C3%9F","CDU",NA,2,0
"896","Anton Sabel","/wiki/Anton_Sabel","CDU","53,4",2,0
"897","Adolf Franz Samwer","/wiki/Adolf_Franz_Samwer","GB/BHE",NA,2,1
"898","Walter Sassnick","/wiki/Walter_Sassnick","SPD","41,2",2,0
"899","Hermann Schäfer","/wiki/Hermann_Sch%C3%A4fer_(Politiker,_1892)","FDP","54,9",2,0
"900","Manfred Schäfer","/wiki/Manfred_Sch%C3%A4fer_(Politiker)","CDU",NA,2,0
"901","Fritz Schäffer","/wiki/Fritz_Sch%C3%A4ffer","CSU","61,8",2,0
"902","Marta Schanzenbach","/wiki/Marta_Schanzenbach","SPD",NA,2,0
"903","Hugo Scharnberg","/wiki/Hugo_Scharnberg","CDU","55,6",2,0
"904","Walter Scheel","/wiki/Walter_Scheel","FDP",NA,2,1
"905","Ernst Schellenberg","/wiki/Ernst_Schellenberg_(Politiker)","SPD",NA,2,0
"906","Heinrich Scheppmann","/wiki/Heinrich_Scheppmann","CDU",NA,2,0
"907","Josef Scheuren","/wiki/Josef_Scheuren","SPD",NA,2,0
"908","Heinrich Schild","/wiki/Heinrich_Schild","DP",NA,2,1
"909","Lambert Schill","/wiki/Lambert_Schill","CDU","56,9",2,0
"910","Josef Schlick","/wiki/Josef_Schlick","CDU","44,6",2,0
"911","Hanns Schloß","/wiki/Hanns_Schlo%C3%9F","FDP",NA,2,0
"912","Carlo Schmid","/wiki/Carlo_Schmid","SPD","38,1",2,0
"913","Helmut Schmidt","/wiki/Helmut_Schmidt","SPD",NA,2,0
"914","Martin Schmidt","/wiki/Martin_Schmidt_(Politiker,_1914)","SPD","30,7",2,0
"915","Karlfranz Schmidt-Wittmack","/wiki/Karlfranz_Schmidt-Wittmack","CDU",NA,2,1
"916","Hermann Schmitt","/wiki/Hermann_Schmitt-Vockenhausen","SPD","38,8",2,0
"917","Kurt Schmücker","/wiki/Kurt_Schm%C3%BCcker","CDU","77,7",2,0
"918","Franz Schneider","/wiki/Franz_Schneider_(Politiker,_1920)","CVP",NA,2,0
"919","Georg Schneider","/wiki/Georg_Schneider_(Politiker,_1892)","CDU",NA,2,0
"920","Heinrich Schneider","/wiki/Heinrich_Schneider_(Politiker,_1907)","DPS",NA,2,1
"921","Herbert Schneider","/wiki/Herbert_Schneider_(Politiker,_1915)","DP",NA,2,0
"922","Ludwig Schneider","/wiki/Ludwig_Schneider_(Politiker,_1898)","FDP","34,1",2,0
"923","Erwin Schoettle","/wiki/Erwin_Schoettle","SPD",NA,2,0
"924","Joachim Schöne","/wiki/Joachim_Sch%C3%B6ne","SPD","30,0",2,0
"925","Rudolf Schrader","/wiki/Rudolf_Schrader","CDU","43,7",2,0
"926","Helmuth Schranz","/wiki/Helmuth_Schranz","DP",NA,2,1
"927","Nikolaus Schreiner","/wiki/Nikolaus_Schreiner","SPD",NA,2,0
"928","Louise Schroeder","/wiki/Louise_Schroeder","SPD",NA,2,0
"929","Gerhard Schröder","/wiki/Gerhard_Schr%C3%B6der_(Politiker,_1910)","CDU","52,0",2,1
"930","Richard Schröter","/wiki/Richard_Schr%C3%B6ter_(Politiker)","SPD",NA,2,0
"931","Hans Schuberth","/wiki/Hans_Schuberth","CSU","49,7",2,0
"932","Fritz Schuler","/wiki/Fritz_Schuler_(Politiker,_1885)","CDU","43,2",2,0
"933","Hubert Schulze Pellengahr","/wiki/Hubert_Schulze_Pellengahr","CDU","69,6",2,0
"934","Josef Schüttler","/wiki/Josef_Sch%C3%BCttler","CDU","63,8",2,0
"935","Hans Schütz","/wiki/Hans_Sch%C3%BCtz_(Politiker)","CSU","52,2",2,1
"936","Hermann Schwann","/wiki/Hermann_Schwann","FDP",NA,2,1
"937","Werner Schwarz","/wiki/Werner_Schwarz_(Politiker,_1900)","CDU","45,0",2,0
"938","Elisabeth Schwarzhaupt","/wiki/Elisabeth_Schwarzhaupt","CDU",NA,2,0
"939","Erich Schwertner","/wiki/Erich_Schwertner","DPS",NA,2,0
"940","Hans-Christoph Seebohm","/wiki/Hans-Christoph_Seebohm","DP","51,4",2,0
"941","Roland Seffrin","/wiki/Roland_Seffrin","CDU",NA,2,0
"942","Frank Seiboth","/wiki/Frank_Seiboth","GB/BHE",NA,2,1
"943","Max Seidel","/wiki/Max_Seidel_(Politiker)","SPD","40,7",2,0
"944","Franz Seidl","/wiki/Franz_Seidl_(Politiker)","CSU","45,1",2,0
"945","Max Seither","/wiki/Max_Seither","SPD",NA,2,0
"946","Günther Serres","/wiki/G%C3%BCnther_Serres","CDU","55,1",2,0
"947","Walter Seuffert","/wiki/Walter_Seuffert","SPD",NA,2,0
"948","Theodor Siebel","/wiki/Theodor_Siebel","CDU","46,2",2,0
"949","J. Hermann Siemer","/wiki/J._Hermann_Siemer","CDU",NA,2,1
"950","Emil Solke","/wiki/Emil_Solke","CDU","73,2",2,0
"951","Paul Sornik","/wiki/Paul_Sornik","GB/BHE",NA,2,0
"952","August Spies","/wiki/August_Spies_(Politiker)","CDU","37,8",2,0
"953","Josef Spies","/wiki/Josef_Spies","CSU","57,7",2,0
"954","Max Spörl","/wiki/Max_Sp%C3%B6rl","CSU","51,8",2,0
"955","Karl Graf von Spreti","/wiki/Karl_Graf_von_Spreti","CSU","61,7",2,0
"956","Ernst Srock","/wiki/Ernst_Srock","GB/BHE",NA,2,0
"957","Willy Stahl","/wiki/Willy_Stahl","FDP",NA,2,0
"958","Wolfgang Stammberger","/wiki/Wolfgang_Stammberger","FDP","52,8",2,0
"959","Heinz Starke","/wiki/Heinz_Starke","FDP","44,6",2,0
"960","Robert Stauch","/wiki/Robert_Stauch","CDU","54,1",2,0
"961","Artur Stegner","/wiki/Artur_Stegner","FDP",NA,2,1
"962","Viktoria Steinbiß","/wiki/Viktoria_Steinbi%C3%9F","CDU",NA,2,0
"963","Karl Steinhauer","/wiki/Karl_Steinhauer","CDU",NA,2,0
"964","Georg Stierle","/wiki/Georg_Stierle","SPD",NA,2,0
"965","Georg Stiller","/wiki/Georg_Stiller","CSU",NA,2,0
"966","Josef Stingl","/wiki/Josef_Stingl","CDU",NA,2,0
"967","Anton Storch","/wiki/Anton_Storch_(Politiker)","CDU","52,1",2,0
"968","Leo Storm","/wiki/Leo_Storm","CDU","44,1",2,0
"969","Heinrich Sträter","/wiki/Heinrich_Str%C3%A4ter","SPD","43,1",2,0
"970","Franz Josef Strauß","/wiki/Franz_Josef_Strau%C3%9F","CSU","52,3",2,0
"971","Käte Strobel","/wiki/K%C3%A4te_Strobel","SPD",NA,2,0
"972","Johannes-Helmut Strosche","/wiki/Johannes-Helmut_Strosche","GB/BHE",NA,2,0
"973","Detlef Struve","/wiki/Detlef_Struve","CDU","55,1",2,0
"974","Richard Stücklen","/wiki/Richard_St%C3%BCcklen","CSU","69,9",2,1
"975","Ferdinand Stümer","/wiki/Ferdinand_St%C3%BCmer","SPD",NA,2,0
"976","Franz Tausch-Treml","/wiki/Franz_Tausch-Treml","SPD",NA,2,0
"977","Wilhelm Tenhagen","/wiki/Wilhelm_Tenhagen","SPD",NA,2,0
"978","Theodor Teriete","/wiki/Theodor_Teriete","CDU",NA,2,0
"979","Willy Thieme","/wiki/Willy_Thieme","SPD",NA,2,0
"980","Johann Thies","/wiki/Johann_Thies","CDU",NA,2,0
"981","Robert Tillmanns","/wiki/Robert_Tillmanns","CDU",NA,2,0
"982","Wilhelm Traub","/wiki/Wilhelm_Traub_(Politiker)","SPD",NA,2,0
"983","Hermann Trittelvitz","/wiki/Hermann_Trittelvitz","SPD",NA,2,0
"984","Franz Xaver Unertl","/wiki/Franz_Xaver_Unertl","CSU","50,0",2,0
"985","Franz Varelmann","/wiki/Franz_Varelmann","CDU",NA,2,0
"986","Hermann Veit","/wiki/Hermann_Veit","SPD",NA,2,0
"987","Elisabeth Vietje","/wiki/Elisabeth_Vietje","CDU",NA,2,0
"988","Rudolf Vogel","/wiki/Rudolf_Vogel_(Politiker,_1906)","CDU","59,8",2,0
"989","Heinrich Voß","/wiki/Heinrich_Vo%C3%9F_(Politiker)","CDU",NA,2,0
"990","Gerhard Wacher","/wiki/Gerhard_Wacher","CSU",NA,2,0
"991","Oskar Wacker","/wiki/Oskar_Wacker","CDU","63,4",2,0
"992","Friedrich Wilhelm Wagner","/wiki/Friedrich_Wilhelm_Wagner_(Politiker,_1894)","SPD","43,3",2,0
"993","Josef Wagner","/wiki/Josef_Wagner_(Politiker,_1892)","SPD",NA,2,0
"994","Eduard Wahl","/wiki/Eduard_Wahl","CDU","48,3",2,0
"995","Albert Walter","/wiki/Albert_Walter","DP","47,6",2,0
"996","Karl Walz","/wiki/Karl_Walz","CDU",NA,2,0
"997","Fritz Weber","/wiki/Fritz_Weber_(Politiker,_1911)","FDP",NA,2,0
"998","Helene Weber","/wiki/Helene_Weber","CDU","57,7",2,0
"999","Karl Weber","/wiki/Karl_Weber_(Politiker,_1898)","CDU","62,1",2,0
"1000","Fritz Wedel","/wiki/Fritz_Wedel","DPS",NA,2,0
"1001","Heinrich Wehking","/wiki/Heinrich_Wehking","CDU",NA,2,0
"1002","Herbert Wehner","/wiki/Herbert_Wehner","SPD","49,0",2,0
"1003","Philipp Wehr","/wiki/Philipp_Wehr","SPD","39,2",2,0
"1004","Erwin Welke","/wiki/Erwin_Welke","SPD",NA,2,0
"1005","Hans Wellhausen","/wiki/Hans_Wellhausen","FDP",NA,2,0
"1006","Friedrich Welskop","/wiki/Friedrich_Welskop","CDU","44,2",2,0
"1007","Emmi Welter","/wiki/Emmi_Welter","CDU",NA,2,0
"1008","Ernst Weltner","/wiki/Ernst_Weltner","SPD","35,1",2,0
"1009","Fritz Wenzel","/wiki/Fritz_Wenzel_(Politiker)","SPD",NA,2,0
"1010","Friedrich Werber","/wiki/Friedrich_Werber","CDU","48,0",2,0
"1011","Willi Weyer","/wiki/Willi_Weyer","FDP",NA,2,1
"1012","Hugo Wiedeck","/wiki/Hugo_Wiedeck","CDU",NA,2,0
"1013","Karl Wienand","/wiki/Karl_Wienand","SPD",NA,2,0
"1014","Karl Wieninger","/wiki/Karl_Wieninger","CSU","48,9",2,0
"1015","Hans-Peter Will","/wiki/Hans-Peter_Will","SPD",NA,2,0
"1016","Rudolf Will","/wiki/Rudolf_Will","FDP",NA,2,0
"1017","Friedrich Wilhelm Willeke","/wiki/Friedrich_Wilhelm_Willeke","CDU","54,3",2,1
"1018","Heinrich Windelen","/wiki/Heinrich_Windelen","CDU",NA,2,0
"1019","Bernhard Winkelheide","/wiki/Bernhard_Winkelheide","CDU","49,4",2,0
"1020","Ernst Winter","/wiki/Ernst_Winter_(Gewerkschafter)","SPD",NA,2,0
"1021","Friedrich Winter","/wiki/Friedrich_Winter_(Politiker,_1902)","CSU",NA,2,0
"1022","Carl Wirths","/wiki/Carl_Wirths","FDP","50,5",2,0
"1023","Otto Wittenburg","/wiki/Otto_Wittenburg","DP",NA,2,1
"1024","Franz Wittmann","/wiki/Franz_Wittmann_(Politiker)","CSU",NA,2,0
"1025","Karl Wittrock","/wiki/Karl_Wittrock","SPD",NA,2,0
"1026","Albert Wolf","/wiki/Albert_Wolf_(Politiker,_1916)","CDU",NA,2,0
"1027","Jeanette Wolff","/wiki/Jeanette_Wolff","SPD",NA,2,0
"1028","Franz-Josef Wuermeling","/wiki/Franz-Josef_Wuermeling","CDU","56,2",2,0
"1029","Heinrich Wullenhaupt","/wiki/Heinrich_Wullenhaupt","CDU",NA,2,0
"1030","Otto Ziegler","/wiki/Otto_Ziegler_(Politiker)","SPD",NA,2,0
"1031","Heinrich Zimmermann","/wiki/Heinrich_Zimmermann_(Politiker,_1893)","DP","27,5",2,0
"1032","Ernst Zühlke","/wiki/Ernst_Z%C3%BChlke","SPD",NA,2,0
"1033","Ernst Achenbach","/wiki/Ernst_Achenbach","FDP",NA,3,1
"1034","Annemarie Ackermann","/wiki/Annemarie_Ackermann","CDU",NA,3,0
"1035","Raban Adelmann","/wiki/Raban_Adelmann_(Politiker)","CDU","42,5",3,1
"1036","Konrad Adenauer","/wiki/Konrad_Adenauer","CDU","68,5",3,0
"1037","Heinrich Aigner","/wiki/Heinrich_Aigner","CSU","65,0",3,0
"1038","Luise Albertz","/wiki/Luise_Albertz","SPD",NA,3,0
"1039","Lisa Albrecht","/wiki/Lisa_Albrecht","SPD",NA,3,0
"1040","Jakob Altmaier","/wiki/Jakob_Altmaier","SPD","43,5",3,0
"1041","Wilhelm Altvater","/wiki/Wilhelm_Altvater","SPD",NA,3,0
"1042","Josef Arndgen","/wiki/Josef_Arndgen","CDU","58,2",3,0
"1043","Adolf Arndt","/wiki/Adolf_Arndt","SPD",NA,3,0
"1044","Karl Arnold","/wiki/Karl_Arnold_(Politiker)","CDU","72,6",3,0
"1045","Karl Atzenroth","/wiki/Karl_Atzenroth","FDP",NA,3,0
"1046","Heinrich Auge","/wiki/Heinrich_Auge","SPD",NA,3,0
"1047","Fritz Baade","/wiki/Fritz_Baade","SPD",NA,3,0
"1048","Robert Bach","/wiki/Robert_Bach_(Politiker)","SPD",NA,3,0
"1049","Harri Bading","/wiki/Harri_Bading","SPD",NA,3,1
"1050","Fritz Baier","/wiki/Fritz_Baier","CDU","50,8",3,1
"1051","Albert Baldauf","/wiki/Albert_Baldauf","CDU","44,4",3,0
"1052","Siegfried Balke","/wiki/Siegfried_Balke","CSU","47,9",3,0
"1053","Bernhard Balkenhol","/wiki/Bernhard_Balkenhol_(Politiker)","CDU","65,5",3,0
"1054","Hans Bals","/wiki/Hans_Bals","SPD",NA,3,0
"1055","Siegfried Bärsch","/wiki/Siegfried_B%C3%A4rsch","SPD","53,0",3,0
"1056","Wolfgang Bartels","/wiki/Wolfgang_Bartels_(Politiker,_1903)","CDU",NA,3,1
"1057","Rainer Barzel","/wiki/Rainer_Barzel","CDU","68,2",3,0
"1058","Hannsheinz Bauer","/wiki/Hannsheinz_Bauer","SPD",NA,3,0
"1059","Josef Bauer","/wiki/Josef_Bauer_(Politiker,_1915)","CSU","62,1",3,1
"1060","Friedrich Bauereisen","/wiki/Friedrich_Bauereisen","CSU","65,0",3,0
"1061","Bernhard Bauknecht","/wiki/Bernhard_Bauknecht","CDU","80,0",3,0
"1062","Rudolf Bäumer","/wiki/Rudolf_B%C3%A4umer_(Politiker)","SPD",NA,3,0
"1063","Valentin Baur","/wiki/Valentin_Baur","SPD",NA,3,0
"1064","Paul Bausch","/wiki/Paul_Bausch","CDU","50,1",3,0
"1065","Hans Bay","/wiki/Hans_Bay","SPD",NA,3,0
"1066","Helmut Bazille","/wiki/Helmut_Bazille","SPD",NA,3,0
"1067","Karl Bechert","/wiki/Karl_Bechert","SPD","35,6",3,0
"1068","Curt Becker","/wiki/Curt_Becker_(Politiker,_1905)","CDU",NA,3,0
"1069","Josef Becker","/wiki/Josef_Becker_(Politiker,_1905)","CDU","52,1",3,0
"1070","Max Becker","/wiki/Max_Becker_(Politiker)","FDP",NA,3,0
"1071","Walter Behrendt","/wiki/Walter_Behrendt_(Politiker)","SPD","50,4",3,0
"1072","Arno Behrisch","/wiki/Arno_Behrisch","SPD",NA,3,0
"1073","Ernst Benda","/wiki/Ernst_Benda","CDU",NA,3,0
"1074","Franziska Bennemann","/wiki/Franziska_Bennemann","SPD",NA,3,0
"1075","August Berberich","/wiki/August_Berberich","CDU","71,4",3,0
"1076","Fritz Berendsen","/wiki/Fritz_Berendsen","CDU","52,8",3,0
"1077","Ulrich Berger","/wiki/Ulrich_Berger_(Politiker)","CDU","47,9",3,0
"1078","Margarete Berger-Heise","/wiki/Margarete_Berger-Heise","SPD",NA,3,0
"1079","Karl Bergmann","/wiki/Karl_Bergmann_(Politiker)","SPD","52,5",3,0
"1080","Bernhard Bergmeyer","/wiki/Bernhard_Bergmeyer","CDU",NA,3,0
"1081","Karl Wilhelm Berkhan","/wiki/Karl_Wilhelm_Berkhan","SPD","42,9",3,0
"1082","August Berlin","/wiki/August_Berlin_(Politiker)","SPD","41,8",3,0
"1083","Anton Besold","/wiki/Anton_Besold","CSU","47,1",3,0
"1084","Emil Bettgenhäuser","/wiki/Emil_Bettgenh%C3%A4user","SPD",NA,3,0
"1085","Lucie Beyer","/wiki/Lucie_Beyer","SPD","41,1",3,0
"1086","Willi Birkelbach","/wiki/Willi_Birkelbach","SPD",NA,3,0
"1087","Kurt Birrenbach","/wiki/Kurt_Birrenbach","CDU",NA,3,1
"1088","Otto Fürst von Bismarck","/wiki/Otto_F%C3%BCrst_von_Bismarck","CDU","51,8",3,1
"1089","Peter Blachstein","/wiki/Peter_Blachstein","SPD","47,6",3,0
"1090","Theodor Blank","/wiki/Theodor_Blank","CDU","74,2",3,0
"1091","Paul Bleiß","/wiki/Paul_Blei%C3%9F","SPD","41,7",3,0
"1092","Hildegard Bleyler","/wiki/Hildegard_Bleyler","CDU",NA,3,0
"1093","Hans Blöcker","/wiki/Hans_Bl%C3%B6cker","CDU","53,0",3,0
"1094","Irma Blohm","/wiki/Irma_Blohm","CDU",NA,3,0
"1095","Franz Blücher","/wiki/Franz_Bl%C3%BCcher","DP","39,5",3,0
"1096","Ernst von Bodelschwingh","/wiki/Ernst_von_Bodelschwingh_(Politiker)","CDU","45,6",3,0
"1097","Franz Böhm","/wiki/Franz_B%C3%B6hm_(Wirtschaftswissenschaftler)","CDU","41,9",3,0
"1098","Holger Börner","/wiki/Holger_B%C3%B6rner","SPD","49,2",3,0
"1099","Peter Wilhelm Brand","/wiki/Peter_Wilhelm_Brand","CDU","56,3",3,0
"1100","Aenne Brauksiepe","/wiki/Aenne_Brauksiepe","CDU","58,4",3,0
"1101","Julius Brecht","/wiki/Julius_Brecht","SPD",NA,3,1
"1102","Heinrich von Brentano","/wiki/Heinrich_von_Brentano","CDU","50,6",3,0
"1103","Wilhelm Brese","/wiki/Wilhelm_Brese","CDU",NA,3,1
"1104","Else Brökelschen","/wiki/Else_Br%C3%B6kelschen","CDU",NA,3,0
"1105","Josef Brönner","/wiki/Josef_Br%C3%B6nner","CDU","48,2",3,0
"1106","Valentin Brück","/wiki/Valentin_Br%C3%BCck","CDU",NA,3,0
"1107","Johannes Brüns","/wiki/Johannes_Br%C3%BCns","CDU",NA,3,0
"1108","August Bruse","/wiki/August_Bruse","SPD",NA,3,0
"1109","Gerd Bucerius","/wiki/Gerd_Bucerius","CDU",NA,3,0
"1110","Ewald Bucher","/wiki/Ewald_Bucher","FDP",NA,3,1
"1111","Karl August Bühler","/wiki/Karl_August_B%C3%BChler","CDU",NA,3,0
"1112","Fritz Burgbacher","/wiki/Fritz_Burgbacher","CDU",NA,3,0
"1113","Alfred Burgemeister","/wiki/Alfred_Burgemeister","CDU","46,2",3,0
"1114","Fritz Büttner","/wiki/Fritz_B%C3%BCttner","SPD",NA,3,1
"1115","Johannes Caspers","/wiki/Johannes_Caspers","CDU","52,7",3,0
"1116","Adolf Cillien","/wiki/Adolf_Cillien","CDU","44,9",3,0
"1117","Kurt Conrad","/wiki/Kurt_Conrad_(Politiker)","SPD","31,6",3,0
"1118","Hermann Conring","/wiki/Hermann_Conring_(Politiker)","CDU","52,0",3,1
"1119","Fritz Corterier","/wiki/Fritz_Corterier","SPD",NA,3,0
"1120","Johann Cramer","/wiki/Johann_Cramer_(Politiker)","SPD",NA,3,0
"1121","Herbert Czaja","/wiki/Herbert_Czaja","CDU",NA,3,0
"1122","Rolf Dahlgrün","/wiki/Rolf_Dahlgr%C3%BCn","FDP",NA,3,1
"1123","Thomas Dehler","/wiki/Thomas_Dehler","FDP",NA,3,0
"1124","Heinrich Deist","/wiki/Heinrich_Deist","SPD",NA,3,1
"1125","Hans Demmelmeier","/wiki/Hans_Demmelmeier","CSU","63,6",3,0
"1126","Arved Deringer","/wiki/Arved_Deringer","CDU","44,7",3,0
"1127","Georg Dewald","/wiki/Georg_Dewald","SPD",NA,3,0
"1128","Hermann Diebäcker","/wiki/Hermann_Dieb%C3%A4cker","CDU",NA,3,1
"1129","Bruno Diekmann","/wiki/Bruno_Diekmann","SPD",NA,3,0
"1130","Anton Diel","/wiki/Anton_Diel","SPD",NA,3,0
"1131","Jakob Diel","/wiki/Jakob_Diel","CDU",NA,3,0
"1132","Emmy Diemer-Nicolaus","/wiki/Emmy_Diemer-Nicolaus","FDP",NA,3,0
"1133","Stefan Dittrich","/wiki/Stefan_Dittrich","CSU","61,8",3,0
"1134","Clara Döhring","/wiki/Clara_D%C3%B6hring","SPD",NA,3,0
"1135","Werner Dollinger","/wiki/Werner_Dollinger","CSU","55,5",3,0
"1136","Wilhelm Dopatka","/wiki/Wilhelm_Dopatka","SPD",NA,3,0
"1137","Wolfgang Döring","/wiki/Wolfgang_D%C3%B6ring_(Politiker)","FDP",NA,3,0
"1138","Otto Dowidat","/wiki/Otto_Dowidat","FDP",NA,3,0
"1139","Hans Drachsler","/wiki/Hans_Drachsler","CSU","66,4",3,0
"1140","Heinrich Draeger","/wiki/Heinrich_Draeger","CDU","31,9",3,0
"1141","August Dresbach","/wiki/August_Dresbach","CDU","56,0",3,0
"1142","Wilhelm Dröscher","/wiki/Wilhelm_Dr%C3%B6scher","SPD","38,3",3,0
"1143","Hermann Dürr","/wiki/Hermann_D%C3%BCrr","FDP",NA,3,1
"1144","Anton Eberhard","/wiki/Anton_Eberhard","FDP",NA,3,0
"1145","Walter Eckhardt","/wiki/Walter_Eckhardt","CSU",NA,3,1
"1146","Hermann Ehren","/wiki/Hermann_Ehren","CDU",NA,3,0
"1147","Ernst Theodor Eichelbaum","/wiki/Ernst_Theodor_Eichelbaum","CDU",NA,3,0
"1148","Elfriede Eilers","/wiki/Elfriede_Eilers","SPD",NA,3,0
"1149","Jan Eilers","/wiki/Jan_Eilers","FDP",NA,3,0
"1150","Otto Eisenmann","/wiki/Otto_Eisenmann","DP",NA,3,1
"1151","Alexander Elbrächter","/wiki/Alexander_Elbr%C3%A4chter","DP",NA,3,0
"1152","Ernst Engelbrecht-Greve","/wiki/Ernst_Engelbrecht-Greve","CDU","46,6",3,1
"1153","Margarete Engländer","/wiki/Margarete_Engl%C3%A4nder","CDU",NA,3,0
"1154","Arthur Enk","/wiki/Arthur_Enk","CDU","38,1",3,0
"1155","Hermann A. Eplée","/wiki/Hermann_A._Epl%C3%A9e","CDU",NA,3,0
"1156","Ludwig Erhard","/wiki/Ludwig_Erhard","CDU","58,4",3,0
"1157","Fritz Erler","/wiki/Fritz_Erler","SPD",NA,3,0
"1158","Fritz Eschmann","/wiki/Fritz_Eschmann","SPD",NA,3,0
"1159","Franz Etzel","/wiki/Franz_Etzel","CDU","50,7",3,0
"1160","Peter Etzenbach","/wiki/Peter_Etzenbach","CDU","65,4",3,0
"1161","August-Martin Euler","/wiki/August-Martin_Euler","DP",NA,3,0
"1162","Bert Even","/wiki/Bert_Even","CDU",NA,3,0
"1163","Johannes Even","/wiki/Johannes_Even","CDU","61,7",3,0
"1164","Walter Faller","/wiki/Walter_Faller","SPD",NA,3,0
"1165","Josef Felder","/wiki/Josef_Felder","SPD",NA,3,0
"1166","Otto Freiherr von Feury","/wiki/Otto_Freiherr_von_Feury","CSU",NA,3,0
"1167","Hermann Finckh","/wiki/Hermann_Finckh","CDU","48,3",3,0
"1168","Erwin Folger","/wiki/Erwin_Folger","SPD",NA,3,0
