"","name","wikitag","party","voteshare","legperiod","nsdap.membership"
"78","Hermann Ehlers","/wiki/Hermann_Ehlers","CDU",NA,1,0
"79","Hermann Ehren","/wiki/Hermann_Ehren","CDU","55,5",1,0
"80","Willi Eichler","/wiki/Willi_Eichler","SPD",NA,1,0
"81","Josef Eichner","/wiki/Josef_Eichner","BP","23,4",1,0
"82","Rudolf Eickhoff","/wiki/Rudolf_Eickhoff","DP","34,2",1,0
"83","Hans Ekstrand","/wiki/Hans_Ekstrand","SPD","37,4",1,0
"84","Hermann A. Eplée","/wiki/Hermann_A._Epl%C3%A9e","CDU",NA,1,0
"85","Ludwig Erhard","/wiki/Ludwig_Erhard","CDU","40,1",1,0
"86","Fritz Erler","/wiki/Fritz_Erler","SPD",NA,1,0
"87","Franz Etzel","/wiki/Franz_Etzel","CDU","35,5",1,0
"88","Hermann Etzel","/wiki/Hermann_Etzel","BP",NA,1,0
"89","Peter Etzenbach","/wiki/Peter_Etzenbach","CDU","37,2",1,0
"90","August-Martin Euler","/wiki/August-Martin_Euler","FDP","35,5",1,0
"91","Johannes Even","/wiki/Johannes_Even","CDU","47,8",1,0
"92","Hans Ewers","/wiki/Hans_Ewers","DP",NA,1,0
"93","Ernst Falkner","/wiki/Ernst_Falkner","BP",NA,1,0
"94","Walter Faller","/wiki/Walter_Faller","SPD",NA,1,0
"95","Ernst Farke","/wiki/Ernst_Farke","DP",NA,1,1
"96","Heinrich Fassbender","/wiki/Heinrich_Fassbender","FDP",NA,1,1
"97","Aloys Feldmann","/wiki/Aloys_Feldmann","CDU","48,7",1,0
"98","Conrad Fink","/wiki/Conrad_Fink","BP","39,2",1,0
"99","Walter Fisch","/wiki/Walter_Fisch","KPD",NA,1,0
"100","Wilhelm Fischer","/wiki/Wilhelm_Fischer_(Politiker,_1904)","SPD","37,2",1,0
"101","Egon Franke","/wiki/Egon_Franke","SPD",NA,1,0
"102","Rudolf Freidhof","/wiki/Rudolf_Freidhof","SPD","35,6",1,0
"103","Walter Freitag","/wiki/Walter_Freitag","SPD","40,5",1,0
"104","Richard Freudenberg","/wiki/Richard_Freudenberg_(Politiker)","independent","43,7",1,0
"105","Martin Frey","/wiki/Martin_Frey_(Politiker)","CDU","60,0",1,0
"106","Hans-Joachim Fricke","/wiki/Hans-Joachim_Fricke","DP",NA,1,0
"107","Ferdinand Friedensburg","/wiki/Ferdinand_Friedensburg_(Politiker,_1886)","CDU",NA,1,0
"108","Hans Friedrich","/wiki/Hans_Friedrich_(Politiker,_1917)","FDP",NA,1,0
"109","Hans-Gerd Fröhlich","/wiki/Hans-Gerd_Fr%C3%B6hlich","WAV",NA,1,0
"110","Heinz Frommhold","/wiki/Heinz_Frommhold","DKP-DRP",NA,1,0
"111","Konrad Frühwald","/wiki/Konrad_Fr%C3%BChwald_(Politiker,_1890)","FDP",NA,1,0
"112","Gustav Fuchs","/wiki/Gustav_Fuchs_(Politiker)","CSU","42,4",1,0
"113","Elimar Freiherr von Fürstenberg","/wiki/Elimar_Freiherr_von_F%C3%BCrstenberg","BP","32,9",1,0
"114","Joseph-Ernst Fugger von Glött","/wiki/Joseph-Ernst_Fugger_von_Gl%C3%B6tt","CSU","38,7",1,0
"115","Oscar Funcke","/wiki/Oscar_Funcke","FDP",NA,1,0
"116","Friedrich Funk","/wiki/Friedrich_Funk_(Politiker,_1900)","CSU","38,5",1,0
